source,en,zh-tw,zh-cn
{} 已完成 {} 次補簽。,{} completed {} make-up sign-ins.,{} 已完成 {} 次補簽。,{} 已完成 {} 次补签。
{} 週,{} weeks,{} 週,{} 周
{} 項,{} items,{} 項,{} 项
{} 項收藏,{} favorites,{} 項收藏,{} 项收藏
{} 點,{} points,{} 點,{} 点
{}/{} 頁,{}/{} pages,{}/{} 頁,{}/{} 页
{}分 {}秒,{}m {}s,{}分 {}秒,{}分 {}秒
{}分鐘前,{} minutes ago,{}分鐘前,{}分钟前
{}天前,{} days ago,{}天前,{}天前
{}小時前,{} hours ago,{}小時前,{}小时前
{}時 {}分 {}秒,{}h {}m {}s,{}時 {}分 {}秒,{}时 {}分 {}秒
{}的資料,{} profile,{}的資料,{}的资料
{}秒,{}s,{}秒,{}秒
{}類別不可刪除,The {} category cannot be deleted,{}類別不可刪除,{}类别不可删除
} 頁,} pages,} 頁,} 页
}」結束,} ends,}」結束,}”结束
}」開始,} starts,}」開始,}”开始
、,", ",、,、
「{}」目前包含 {} 筆收藏與 {} 個集合。,{} currently contains {} favorites and {} collections.,「{}」目前包含 {} 筆收藏與 {} 個集合。,“{}”目前包含 {} 个收藏与 {} 个集合。
「{}」結束,{} ends,「{}」結束,“{}”结束
「{}」開始,{} starts,「{}」開始,“{}”开始
一,One,一,一
一年,One year,一年,一年
三,Three,三,三
上一個分頁,Previous page,上一個分頁,上一页
上一話,Previous chapter,上一話,上一话
上一頁,Previous page,上一頁,上一页
上一頁 / 下一頁,Previous page / next page,上一頁 / 下一頁,上一页 / 下一页
下一個分頁,Next page,下一個分頁,下一页
下一話,Next chapter,下一話,下一话
下一頁,Next page,下一頁,下一页
下次不再提示,Don’t prompt again next time,下次不再提示,下次不再提示
下載圖片失敗,Failed to download image,下載圖片失敗,下载图片失败
下載失敗,Download failed,下載失敗,下载失败
下載失敗：{},Download failed: {},下載失敗：{},下载失败：{}
下載完成，已打開系統安裝流程。,Download complete. System installation has been started.,下載完成，已打開系統安裝流程。,下载完成，已打开系统安装流程。
下載更新,Download update,下載更新,下载更新
不自動檢查,Do not auto-check,不自動檢查,不自动检查
中斷,Interrupt,中斷,中断
中斷同步,Interrupt sync,中斷同步,中断同步
主題,Theme,主題,主题
主題色、配色與整體顯示風格,"Theme color, palette, and overall display style",主題色、配色與整體顯示風格,主题色、配色与整体显示风格
二,Two,二,二
五,Five,五,五
今天,Today,今天,今天
今天尚未完成每日簽到。,Daily sign-in is not completed today.,今天尚未完成每日簽到。,今天尚未完成每日签到。
今天尚未簽到時，在 app 啟動後提醒你前往簽到。,"If you have not signed in today, you will be reminded to sign in after the app launches.",今天尚未簽到時，在 app 启动後提醒你前往簽到。,今天尚未签到时，在应用启动后提醒你前往签到。
今天已經打卡過了。,Already signed in today.,今天已經打卡過了。,今天已经打卡过了。
今天狀態：已簽到,Today's status: Signed in,今天狀態：已簽到,今天状态：已签到
今天狀態：未簽到,Today's status: Not signed in,今天狀態：未簽到,今天状态：未签到
今日,Today,今日,今日
今日 {},Today {},今日 {},今日 {}
今日已簽,Signed today,今日已簽,今日已签
今日已簽到,Signed in today,今日已簽到,今日已签到
介面語言,Interface Language,介面語言,界面语言
伺服器正在維護中,The server is under maintenance.,伺服器正在維護中,服务器正在维护中
作品,Work,作品,作品
作品與章節,Works and chapters,作品與章節,作品与章节
作者新增 {} 則內容,Author added {} posts,作者新增 {} 則內容,作者新增 {} 则内容
作者更新內容,Author updated content,作者更新內容,作者更新内容
作者有新的內容,Author has new content,作者有新的內容,作者有新的内容
你今天還沒簽到,You have not signed in today,你今天還沒簽到,你今天还没签到
你確定要將百合會收藏同步到本地嗎,Are you sure you want to sync Yamibo favorites to local?,你確定要將百合會收藏同步到本地嗎,你确定要将百合会收藏同步到本地吗
使用外部瀏覽器開啟,Open with external browser,使用外部瀏覽器開啟,使用外部浏览器打开
來源：{},Source: {},來源：{},来源：{}
保存,Save,保存,保存
保存失敗,Save failed,保存失敗,保存失败
保留本地收藏,Keep local favorite,保留本地收藏,保留本地收藏
保留系統列背景,Keep system bar background,保留系統列背景,保留系统栏背景
個人主頁,Personal homepage,個人主頁,个人主页
個人簽名,Personal signature,個人簽名,个人签名
個人資料,Profile,個人資料,个人资料
停用,Disabled,停用,停用
偵測到 {} 個更新,Detected {} updates,偵測到 {} 個更新,检测到 {} 个更新
傳統白,Classic white,傳統白,传统白
傳統黑,Classic black,傳統黑,传统黑
僅移除當下目錄,Remove current directory only,僅移除當下目錄,仅移除当前目录
僅解除本地收藏,Remove local favorite only,僅解除本地收藏,仅移除本地收藏
儲存,Save,儲存,储存
儲存失敗,Save failed,儲存失敗,保存失败
儲存空間,Storage,儲存空間,存储空间
儲存空間使用情形,Storage usage,儲存空間使用情形,存储空间使用情况
內容區,Content area,內容區,内容区
內容寬度,Content width,內容寬度,内容宽度
全域刷新,Global refresh,全域刷新,全局刷新
全域刷新收藏更新,Global refresh favorite updates,全域刷新收藏更新,全局刷新收藏更新
全手動簽到,Fully manual sign-in,全手動簽到,全手动签到
全選,Select all,全選,全选
全部,All,全部,全部
公告,Announcement,公告,公告
六,Six,六,六
其他,Other,其他,其他
再按一次退出應用,Press again to exit the app,再按一次退出應用,再按一次退出应用
出生地,Place of birth,出生地,出生地
分享,Share,分享,分享
分享圖片,Share image,分享圖片,分享图片
分享日志,Share blog,分享日志,分享日志
分數,Score,分數,分数
分類,Category,分類,分类
分類: {},Category: {},分類: {},分类: {}
切換介面語言,Change app interface language,切換介面語言,切换界面语言
判斷討論區類型,Checking forum type,判斷討論區類型,判断讨论区类型
刪除,Delete,刪除,删除
刪除失敗,Delete failed,刪除失敗,删除失败
刪除收藏失敗,Failed to delete favorites,刪除收藏失敗,删除收藏失败
刪除類別,Delete category,刪除類別,删除类别
刷新,Refresh,刷新,刷新
刷新失敗: {}，嘗試讀取緩存,Refresh failed: {}. Trying cache,刷新失敗: {}，嘗試讀取緩存,刷新失败: {}，尝试读取缓存
刷新失敗：{},Refresh failed: {},刷新失敗：{},刷新失败：{}
刷新週期,Refresh cycle,刷新週期,刷新周期
刷新週期: {},Refresh interval: {},刷新週期: {},刷新周期: {}
刷新週期已改為 {},Refresh interval changed to {},刷新週期已改為 {},刷新周期已改为 {}
前天,The day before yesterday,前天,前天
前往,Go to,前往,前往
前往簽到,Go to sign-in,前往簽到,前往签到
剛剛,Just now,剛剛,刚刚
加為好友,Add as friend,加為好友,加为好友
勾選大類，或點進去選擇小集合,"Check main categories, or tap in to select sub-collections",勾選大類，或點進去選擇小集合,勾选大类，或点进去选择小集合
匯入網站帖子,Importing website threads,匯入網站帖子,导入网站帖子
區間,Interval,區間,区间
半自動簽到,Semi-automatic sign-in,半自動簽到,半自动签到
反轉觸控區域,Reverse touch zones,反轉觸控區域,反转触控区域
取得小說作者資訊,Loading novel author info,取得小說作者資訊,获取小说作者信息
取消,Cancel,取消,取消
取消全部收藏,Remove all favorites,取消全部收藏,取消全部收藏
取消全部收藏嗎,Remove all favorites?,取消全部收藏嗎,取消全部收藏吗
取消後會移除目前這個收藏項目。,Canceling will remove the current favorite item.,取消後會移除目前這個收藏項目。,取消后会移除当前这个收藏项目。
取消收藏失敗,Failed to remove favorite,取消收藏失敗,取消收藏失败
只刪本地,Delete local only,只刪本地,只删本地
只加入部分集合,Added to partial collections only,只加入部分集合,只加入部分集合
只存本地,Save local only,只存本地,只存本地
可能有多筆新內容,There may be multiple new items,可能有多筆新內容,可能有多条新内容
可補簽：{},Make-up sign options: {},可補簽：{},可补签：{}
合成集合,Merge collections,合成集合,合并集合
同步到哪個類別,Which category to sync to?,同步到哪個類別,同步到哪个类别
同步到百合會,Sync to Yamibo,同步到百合會,同步到百合会
同步到百合會收藏嗎,Sync to Yamibo favorites?,同步到百合會收藏嗎,同步到百合会收藏吗
同步失敗,Sync failed,同步失敗,同步失败
同步完成,Sync completed,同步完成,同步完成
同步已中斷,Sync interrupted,同步已中斷,同步已中断
同步已取消,Sync canceled,同步已取消,同步已取消
同步已取消。,Sync canceled.,同步已取消。,同步已取消。
同步期間網站收藏頁數發生變動，建議再同步一次。,The website favorite page count changed during sync. It is recommended to sync again.,同步期間網站收藏頁數發生變動，建議再同步一次。,同步期间网站收藏页数发生变动，建议再同步一次。
同步百合會收藏,Sync Yamibo favorites,同步百合會收藏,同步百合会收藏
同步目標類別不存在，請重新選擇。,The sync target category no longer exists. Please select again.,同步目標類別不存在，請重新選擇。,同步目标类别不存在，请重新选择。
同步移除,Sync removal,同步移除,同步移除
同步移除百合會收藏嗎,Sync remove Yamibo favorite?,同步移除百合會收藏嗎,同步移除百合会收藏吗
同步至百合會失敗：{},Failed to sync to Yamibo: {},同步至百合會失敗：{},同步至百合會失敗：{}
同步花費時間,Sync duration,同步花費時間,同步耗时
同步過程發生錯誤,An error occurred during synchronization,同步過程發生錯誤,同步过程发生错误
名稱,Name,名稱,名称
名稱「{}」已被集合使用,"Name ""{}"" is already used by a collection",名稱「{}」已被集合使用,名称“{}”已被集合使用
名稱「{}」已被類別使用,"Name ""{}"" is already used by a category",名稱「{}」已被類別使用,名称“{}”已被类别使用
名稱不能為空白,Name cannot be blank,名稱不能為空白,名称不能为空
向前掃描評論頁 {},Scanning previous comment page {},向前掃描評論頁 {},向前扫描评论页 {}
否,No,否,否
啟動 app 後在背景檢查更新；未超過間隔不會發出網路請求。,Checks for updates in the background after app launch; no network requests are sent before the interval elapses.,啟動 app 後在背景檢查更新；未超過間隔不會發出網路請求。,启动应用后在后台检查更新；未超过间隔不会发出网络请求。
啟動時簽到提醒,Launch sign-in reminder,啟動時簽到提醒,启动时签到提醒
啟動檢查更新間隔,Launch update check interval,啟動檢查更新間隔,启动检查更新间隔
單頁(上至下),Single page (top to bottom),單頁(上至下),单页（上至下）
單頁(右至左),Single page (right to left),單頁(右至左),单页（右至左）
單頁(左至右),Single page (left to right),單頁(左至右),单页（左至右）
四,Four,四,四
回復,Reply,回復,回复
回復成功,Reply successful,回復成功,回复成功
回覆,Reply,回覆,回复
固定網格,Fixed grid,固定網格,固定网格
圓餅圖,Pie chart,圓餅圖,饼图
圖片,Images,圖片,图片
圖片載入中,Loading image,圖片載入中,图片加载中
圖片載入失敗,Image loading failed,圖片載入失敗,图片加载失败
圖表,Chart,圖表,图表
在應用內開啟連結,Open link in app,在應用內開啟連結,在应用内打开链接
在瀏覽器開啟,Open in browser,在瀏覽器開啟,在浏览器打开
在狀態列與底部導覽列後方使用閱讀背景，避免透明系統列蓋住內容。,Use a reading background behind the status bar and bottom navigation bar to prevent transparent system bars from covering content.,在狀態列與底部導覽列後方使用閱讀背景，避免透明系統列蓋住內容。,在状态栏与底部导航栏后方使用阅读背景，避免透明系统栏盖住内容。
在線成員,Online members,在線成員,在线成员
在線時間,Online time,在線時間,在线时间
在首頁版塊列表上方顯示百合會活動與推薦橫幅。,Display Yamibo event and recommendation banners above the home forum list.,在首頁版塊列表上方顯示百合會活動與推薦橫幅。,在首页版块列表上方显示百合会活动与推荐横幅。
外觀,Appearance,外觀,外观
外部瀏覽器,External browser,外部瀏覽器,外部浏览器
多選刪除,Bulk delete,多選刪除,多选删除
好友的日志,Friends' blogs,好友的日志,好友的日志
子版區,Sub-forum,子版區,子版区
字體大小,Font size,字體大小,字体大小
字體大小、行距與版面寬度,"Font size, line spacing, and content width",字體大小、行距與版面寬度,字体大小、行距与版面宽度
學歷,Education,學歷,学历
宋体,SimSun,宋体,宋体
完全移除收藏時詢問同步刪除,Ask to sync deletion when fully removing favorites,完全移除收藏時詢問同步刪除,完全移除收藏时询问同步删除
完全移除收藏預設動作,Fully remove favorite default actions,完全移除收藏預設動作,完全移除收藏默认动作
完成,Finish,完成,完成
完成 Cloudflare 驗證後，程式會在簽到成功後一路補到不能再補。,"After completing Cloudflare verification, the app will automatically perform all available make-up sign-ins after a successful sign-in.",完成 Cloudflare 驗證後，程式會在簽到成功後一路補到不能再補。,完成 Cloudflare 验证后，程序会在签到成功后自动补签至无法继续补签。
定位中,Positioning,定位中,定位中
定位失敗,Positioning failed,定位失敗,定位失败
將當前所有收藏移動到{},Move all current favorites to {},將當前所有收藏移動到{},将当前所有收藏移动到{}
將重新檢查所有收藏並建立新的更新任務。網站維護中可能會產生大量錯誤記錄。,All favorites will be rechecked and new update tasks created. A large number of error logs may be generated during website maintenance.,將重新檢查所有收藏並建立新的更新任務。網站維護中可能會產生大量錯誤記錄。,将重新检查所有收藏并建立新的更新任务。网站维护中可能会产生大量错误记录。
尋找作者正文位置,Finding author post position,尋找作者正文位置,寻找作者正文位置
尋找評論所屬正文,Finding parent author post for comment,尋找評論所屬正文,寻找评论所属正文
對象,Target,對象,对象
小說,Novel,小說,小说
小說閱讀器,Novel Reader,小說閱讀器,小说阅读器
尚未加入,Not yet joined,尚未加入,尚未加入
尚未取得簽到資訊,Sign-in information not yet obtained,尚未取得簽到資訊,尚未获取签到信息
尚未檢查更新,Updates not checked yet,尚未檢查更新,尚未检查更新
尚未通過簽到頁的 Cloudflare 驗證，請先在 WebView 完成驗證。,Cloudflare verification for the sign-in page is not complete. Please finish it in WebView first.,尚未通過簽到頁的 Cloudflare 驗證，請先在 WebView 完成驗證。,尚未通过签到页的 Cloudflare 验证，请先在 WebView 完成验证。
尚未開始同步,Sync not started yet,尚未開始同步,尚未开始同步
尚無收藏資料,No favorites yet,尚無收藏資料,暂无收藏数据
尚無閱讀時數資料,No reading hours data yet,尚無閱讀時數資料,暂无阅读时长数据
屏蔽,Block,屏蔽,屏蔽
左右式,Left / right,左右式,左右式
已中斷收藏更新檢查,Favorite update check interrupted,已中斷收藏更新檢查,已中断收藏更新检查
已保存筆記,Note saved,已保存筆記,已保存笔记
已儲存圖片至相簿,Saved image to album,已儲存圖片至相簿,已保存图片至相册
已刪除 {} 項紀錄,Deleted {} history records,已刪除 {} 項紀錄,已删除 {} 项记录
已刪除 {} 項，{} 項失敗,"Deleted {} items, {} failed",已刪除 {} 項，{} 項失敗,已删除 {} 项，{} 项失败
已刪除收藏,Favorites deleted,已刪除收藏,已删除收藏
已刪除筆記,Note deleted,已刪除筆記,已删除笔记
已刪除這筆紀錄,This record has been deleted,已刪除這筆紀錄,已删除这条记录
已刷新閱讀歷史紀錄,Reading history has been refreshed,已刷新閱讀歷史紀錄,已刷新阅读历史记录
已加入大類,Added to main category,已加入大類,已加入大类
已加入收藏,Added to favorites,已加入收藏,已加入收藏
已加入收藏，{},Added to favorites: {},已加入收藏，{},已加入收藏，{}
已加入收藏，但同步失敗：{},"Added to favorites, but sync failed: {}",已加入收藏，但同步失敗：{},已加入收藏，但同步失败：{}
已加入收藏，預設存入未分類,"Added to favorites, default saved to uncategorized",已加入收藏，預設存入未分類,已加入收藏，默认存入未分类
已加入本地收藏,Added to local favorites,已加入本地收藏,已加入本地收藏
已加入本地收藏，{},Added to local favorites: {},已加入本地收藏，{},已加入本地收藏，{}
已加入本地收藏，但同步到百合會失敗：{},"Added locally, but Yamibo sync failed: {}",已加入本地收藏，但同步到百合會失敗：{},已加入本地收藏，但同步到百合会失败：{}
已加入本地收藏，但找不到同步目標。,"Added to local favorites, but sync target not found.",已加入本地收藏，但找不到同步目標。,已加入本地收藏，但找不到同步目标。
已加入本地收藏，預設存入未分類,"Added to local favorites, default saved to uncategorized",已加入本地收藏，預設存入未分類,已加入本地收藏，默认存入未分类
已匯入到本地,Imported to local,已匯入到本地,已导入到本地
已取得,Obtained,已取得,已取得
已取得 {} 項收藏,Fetched {} favorites,已取得 {} 項收藏,已取得 {} 项收藏
已取消同步,Sync canceled,已取消同步,已取消同步
已取消所有收藏,All favorites removed,已取消所有收藏,已取消所有收藏
已取消收藏,Favorite removed,已取消收藏,已取消收藏
已取消收藏更新檢查,Favorite update check canceled,已取消收藏更新檢查,已取消收藏更新检查
已同步到百合會。,Synced to Yamibo.,已同步到百合會。,已同步到百合会。
已同步到百合會，但暫時無法回填收藏順序，下一次同步會補齊。,"Synced to Yamibo, but the favorite order could not be backfilled yet. It will be fixed on the next sync.",已同步到百合會，但暫時無法回填收藏順序，下一次同步會補齊。,已同步到百合会，但暂时无法回填收藏顺序，下一次同步会补齐。
已同步到百合會，但暫時無法回填收藏順序：{},"Synced to Yamibo, but the favorite order could not be backfilled: {}",已同步到百合會，但暫時無法回填收藏順序：{},已同步到百合会，但暂时无法回填收藏顺序：{}
已同步至百合會,Already synced to Yamibo,已同步至百合會,已同步至百合会
已就緒,Ready,已就緒,已就绪
已建立集合,Collection created,已建立集合,已建立集合
已從所有位置移除收藏,Favorite removed from all locations,已從所有位置移除收藏,已从所有位置移除收藏
已從百合會取消收藏,Removed from Yamibo favorites,已從百合會取消收藏,已從百合會取消收藏
已忽略版本 {},Version {} ignored,已忽略版本 {},已忽略版本 {}
已收藏本版,Forum bookmarked,已收藏本版,已收藏本版
已新增書籤,Bookmark added,已新增書籤,已新增书签
已新增集合,Collection added,已新增集合,已新增集合
已更新收藏位置,Favorite location updated,已更新收藏位置,已更新收藏位置
已更新收藏路徑,Favorite path updated,已更新收藏路徑,已更新收藏路径
已更新集合,Collection updated,已更新集合,已更新集合
已標為已讀,Marked as read,已標為已讀,已标为已读
已標為未讀,Marked as unread,已標為未讀,已标为未读
已清除所有緩存,All cache cleared,已清除所有緩存,已清除所有缓存
已清除閱讀紀錄,Reading history cleared,已清除閱讀紀錄,已清除阅读记录
已移除收藏,Favorite removed,已移除收藏,已移除收藏
已移除書籤,Bookmark removed,已移除書籤,已移除书签
已移除當下目錄收藏,Current directory favorite removed,已移除當下目錄收藏,已移除当前目录收藏
已簽,Signed,已簽,已签
已經是第一話,Already the first chapter,已經是第一話,已经是第一话
已经打过卡,Already checked in,已经打过卡,已经打过卡
已複製作者名稱,Author name copied,已複製作者名稱,已复制作者名称
已複製圖片,Image copied,已複製圖片,已复制图片
已複製標題,Title copied,已複製標題,已复制标题
已解散集合,Collection disbanded,已解散集合,已解散集合
已解除本地收藏，百合會收藏仍可能存在,Local favorite removed; the Yamibo favorite may still exist,已解除本地收藏，百合會收藏仍可能存在,已移除本地收藏，百合会收藏可能仍然存在
已解除本版收藏,Forum bookmark removed,已解除本版收藏,已解除本版收藏
已設為RSS封面,Set as RSS cover,已設為RSS封面,已设为RSS封面
已設為封面,Set as cover,已設為封面,已设为封面
已設為標籤封面,Set as tag cover,已設為標籤封面,已设为标签封面
已讀/總數,Read/total,已讀/總數,已读/总数
已讀完所有章節,Read all chapters,已讀完所有章節,已读完所有章节
已載入 {} 個追蹤項目,Loaded {} tracked items,已載入 {} 個追蹤項目,已载入 {} 个追踪项目
已載入 {} 個追蹤項目，從第 {} 項繼續,"Loaded {} tracked items, resuming from item {}",已載入 {} 個追蹤項目，從第 {} 項繼續,已载入 {} 个追踪项目，从第 {} 项继续
已通過驗證，但找不到簽到按鈕，請改用手動模式。,"Verification passed, but the sign-in button was not found. Please use manual mode.",已通過驗證，但找不到簽到按鈕，請改用手動模式。,已通过验证，但找不到签到按钮，请改用手动模式。
已選 {} 項,{} selected,已選 {} 項,已选 {} 项
已選擇,Selected,已選擇,已选择
帖子,Post,帖子,帖子
帖子/論壇頁面,Thread/forum pages,帖子/論壇頁面,帖子/论坛页面
帖子內容已更新,Thread content was updated,帖子內容已更新,帖子内容已更新
帖子有新的內容,Thread has new content,帖子有新的內容,帖子有新的内容
帖子頁數,Post pages,帖子頁數,帖子页数
平台限制,Platform restrictions,平台限制,平台限制
廠商背景限制說明,Manufacturer background restrictions,廠商背景限制說明,厂商后台限制说明
建新類別,Create new category,建新類別,新建类别
建立備份時發生錯誤,An error occurred while creating the backup,建立備份時發生錯誤,建立備份時發生錯誤
建立類別失敗,Failed to create category,建立類別失敗,建立类别失败
建議處理,Recommended action,建議處理,建议处理
必要權限已具備，但還有 {} 項建議設定，可降低背景同步被系統中止的機率。,"Required permissions are granted, but {} recommended settings can reduce the chance of background sync being stopped by the system.",必要權限已具備，但還有 {} 項建議設定，可降低背景同步被系統中止的機率。,必要权限已具备，但还有 {} 项建议设置，可降低后台同步被系统中止的概率。
必須處理,Required,必須處理,必须处理
性別,Gender,性別,性别
我是YamiboApp的作者TheNano，這是一個第三方個人獨立開發的開源App,"I am TheNano, author of YamiboApp. This is an open-source app independently developed by a third-party individual.",我是YamiboApp的作者TheNano，這是一個第三方個人獨立開發的開源App,我是YamiboApp的作者TheNano，这是一个第三方个人独立开发的开源App
我的,Profile,我的,我的
我的主題,My threads,我的主題,我的主题
我的回覆,My replies,我的回覆,我的回复
我的好友,My friends,我的好友,我的好友
我的打卡动态,My check-in status,我的打卡动态,我的打卡动态
我的打卡動態,My check-in status,我的打卡動態,我的打卡动态
我的提醒,My notifications,我的提醒,我的提醒
我的收藏,My favorites,我的收藏,我的收藏
我的日志,My blogs,我的日志,我的日志
我的消息,My messages,我的消息,我的消息
我的空間,My space,我的空間,我的空间
我的訪客,My visitors,我的訪客,我的访客
我的資料,My profile,我的資料,我的资料
我的足跡,My footprints,我的足跡,我的足迹
手動刷新,Manual refresh,手動刷新,手动刷新
手動刷新資訊,Manually refresh information,手動刷新資訊,手动刷新信息
手動模式下只保存這個偏好；半自動模式才會真的自動補簽。,"In manual mode, only this preference is saved; automatic make-up sign-ins only work in semi-automatic mode.",手動模式下只保存這個偏好；半自動模式才會真的自動補簽。,手动模式下只保存这个偏好；半自动模式才会真正自动补签。
打卡公告,Check-in announcement,打卡公告,打卡公告
打卡成功,Check-in successful,打卡成功,打卡成功
打卡統計,Check-in statistics,打卡統計,打卡统计
打開簽到頁 WebView,Open sign-in page WebView,打開簽到頁 WebView,打开签到页 WebView
打開進度,Open progress,打開進度,打开进度
找不到指定的樓層，已跳轉至最接近的樓層,Specified floor not found. Jumped to nearest floor.,找不到指定的樓層，已跳轉至最接近的樓層,找不到指定的楼层，已跳转至最接近的楼层
找不到要同步的收藏。,Favorite item not found.,找不到要同步的收藏。,找不到要同步的收藏。
找不到這個同步任務。,Sync task not found.,找不到這個同步任務。,找不到这个同步任务。
找到 {} 個相關內容,Found {} related items,找到 {} 個相關內容,找到 {} 个相关内容
找到 {} 筆搜尋結果,Found {} search results,找到 {} 筆搜尋結果,找到 {} 条搜索结果
投票失敗: {},Vote failed: {},投票失敗: {},投票失败: {}
投票成功，正在刷新頁面...,Vote successful. Refreshing page...,投票成功，正在刷新頁面...,投票成功，正在刷新页面...
折線圖,Line chart,折線圖,折线图
捲動(留空),Scroll with gaps,捲動(留空),滚动（留空）
捲動(連續),Continuous scroll,捲動(連續),滚动（连续）
授予,Grant,授予,授予
